Opportunity_ID;Customer Name;Customer_Segment;Sector;Country;Customer_Status;Annual_Speed;Length_Of_Sales_Cycle;Product_Name;Highest_Contract_Level;Compelling_Event;RFP;Sales_Engineer_Engaged;Services_Included;Customer_Meeting;License;Contacts
STE70167RTIN;Steve Martin;Enterprise;Apparel;France;current customer;Huge;6 Months;Identity Server;Manager Level;Yes;Yes;Yes;Yes;5;55;145
OME61108ARKT;Omega Soft-Hardware Markt;Fortune500;Goods;Russia;current customer;Small;1 Year;Security;C-Level;No;Yes;Yes;Yes;34;473;155
MIN34811GMBH;Minerva Energieversorgung GmbH;SMB;Healthcare;Japan;current customer;Medium;18 Months;Security;Manager Level;Yes;No;No;Yes;4;130;93
GEN91866 INC;General Distributors Inc;SMB;Apparel;Brazil;current customer;Large;6 Months;CRM;Manager Level;Yes;Yes;Yes;Yes;31;122;52
MAN63441INC.;Mansur Computers. Inc.;Enterprise;Healthcare;Germany;current customer;Medium;6 Months;Application Server;C-Level;Yes;Yes;No;No;18;63;23
ALP36870GMBH;Alpha-Systems GmbH;Enterprise;Retail;Brazil;current customer;Huge;1 Year;ERP;C-Level;No;No;Yes;Yes;28;216;119
THO27889INC.;Thomas Bush Inc.;Fortune500;Retail;China;current customer;Huge;1 Year;Portal;C-Level;No;No;Yes;No;38;446;38
DEP94507ENSE;Department of Defense;SMB;Construction;Japan;prospect;Large;6 Months;Portal;Individual Contributor Level;Yes;No;Yes;No;17;32;136
TOR45199PORT;Tornado Motorsport;Enterprise;Manufacturing;UK;prior customer;Big;6 Months;Web Server;C-Level;Yes;No;No;Yes;19;134;153
THO48461TION;Thomas World Distribution;SMB;Goods;China;prospect;Huge;6 Months;Identity Server;C-Level;No;Yes;No;Yes;28;155;42
AND22684ANDS;Andrew Sands;Enterprise;Goods;Germany;prior customer;Medium;2 Years;ERP;Manager Level;Yes;No;Yes;Yes;8;179;153
BZ 52042INC.;BZ Wines Inc.;SMB;High tech;China;current customer;Large;1 Month;Application Server;Individual Contributor Level;Yes;Yes;No;Yes;3;144;32
EIN38419UNDE;Einmalkunde;SMB;High tech;Japan;prior customer;Small;1 Month;ERP;Individual Contributor Level;Yes;No;Yes;No;25;53;14
DYN85445RIES;Dynamic Industries;Enterprise;Manufacturing;Russia;prior customer;Small;1 Year;Identity Server;C-Level;No;No;Yes;Yes;11;190;94
