Day;BikeHires;WorkingDay;Holiday;Temp. Min;Temp. Max;Temp. Mean;Humid. Min;Humid. Max;Humid. Mean;Rain
01/01/2011;4555;0;1;3.2;6.6;5.2;84;95;89;0.1
02/01/2011;6250;0;1;1.5;3.2;2.3;77;88;84;0
03/01/2011;7262;0;1;-0.9;3.3;2;65;87;76;0
04/01/2011;13430;1;0;2.6;5;3.6;75;87;82;0
05/01/2011;13757;1;0;4.1;7.1;5.8;65;95;83;0.8
06/01/2011;9595;1;0;1.3;6.8;4;94;98;95;10.1
07/01/2011;9294;1;0;0.6;10.1;5.8;93;98;97;9
08/01/2011;9338;0;1;2.7;10;7.2;68;96;83;3.5
09/01/2011;10558;0;1;1.5;5.8;3.2;66;90;80;0
10/01/2011;16058;1;0;-0.7;8.2;4.9;73;96;86;0.5
11/01/2011;16412;1;0;4.1;7.3;5.5;73;97;84;6.8
12/01/2011;13894;1;0;4.1;12.1;9.1;79;98;93;6.3
13/01/2011;15911;1;0;11.4;13.3;12.1;90;98;95;3
14/01/2011;14834;1;0;7.8;11.7;10.5;85;95;92;5.5
15/01/2011;11851;0;1;7.8;11.2;10.3;74;94;82;0
16/01/2011;10471;0;1;9.8;12.3;11.1;74;95;84;1.4
17/01/2011;10835;1;0;5.6;9.8;7.6;85;97;93;16.1
18/01/2011;17703;1;0;2.8;6.4;4.5;76;97;90;7.6
19/01/2011;18350;1;0;1.2;6.1;3.3;84;97;91;0
20/01/2011;17957;1;0;2.6;5;3.8;86;95;90;0.1
21/01/2011;16509;1;0;0;3.9;1.7;74;95;86;0.3
22/01/2011;10658;0;1;0.7;6.1;3.8;83;97;91;0.3
23/01/2011;9911;0;1;5.3;7.2;6.3;83;96;91;0
24/01/2011;17193;1;0;3.3;6.8;5.6;72;94;86;0.3
25/01/2011;17045;1;0;3.4;8.2;6.5;83;95;91;0.8
26/01/2011;16396;1;0;1.7;7;5.2;77;97;92;0.5
27/01/2011;16519;1;0;1.1;2.6;1.6;57;78;68;0
28/01/2011;15538;1;0;-0.5;1.2;0.5;58;76;64;0
29/01/2011;9379;0;1;-0.1;1.3;0.7;73;77;74;0
30/01/2011;9455;0;1;-0.4;4.1;1.8;64;81;75;0
31/01/2011;16260;1;0;-0.7;3.7;2;67;80;74;0
01/02/2011;16331;1;0;-1.7;6.9;3.5;80;95;86;0.1
02/02/2011;18102;1;0;3;10;6.6;82;98;93;0.1
03/02/2011;15593;1;0;4.2;9.6;7.5;62;91;79;0
04/02/2011;14938;1;0;9.5;12.3;11;71;85;77;0
05/02/2011;8442;0;1;11.3;13;12;72;83;76;0.1
06/02/2011;9437;0;1;9.7;11.6;10.8;70;84;77;0
07/02/2011;16537;1;0;5.7;11.4;9;62;84;74;0.1
08/02/2011;19829;1;0;1.5;9.1;5.5;52;95;77;0
09/02/2011;18197;1;0;5.4;10.5;8.1;72;89;81;0
10/02/2011;11496;1;0;8.3;10.6;9.6;86;97;93;12.3
11/02/2011;16070;1;0;8.4;12;10.1;89;97;93;1.1
12/02/2011;12855;0;1;5.6;10.5;8.9;68;96;85;1.9
13/02/2011;7034;0;1;5.6;8.6;7.4;82;95;87;3
